"skill_name","data_science_skill_count"
"r","72526"
"tableau","35472"
"aws","33779"
"spark","30991"
"azure","27227"
"tensorflow","24261"
"excel","20886"
"pytorch","19461"
"java","19449"
"hadoop","19109"
