"skill_name","analytics_skill_count","science_skill_count","engineering_skill_count","total_count"
"sql","127752","97835","142062","367649"
"python","76506","140012","137245","353763"
"aws","13020","33779","81578","128377"
"r","40362","72526","15211","128099"
"tableau","65893","35472","23519","124884"
"excel","92482","20886","9997","123365"
"azure","15759","27227","77054","120040"
